City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Rikitea,-23.1203,-134.9692,75.45,80,78,15.68,PF,1635451734
Hobart,-42.8794,147.3294,48.06,93,90,3,AU,1635451701
Pitimbu,-7.4706,-34.8086,81.19,66,87,13.91,BR,1635451735
Atuona,-9.8,-139.0333,78.1,71,0,16.93,PF,1635451735
Arraial do Cabo,-22.9661,-42.0278,73.26,94,75,12.66,BR,1635451456
Tasiilaq,65.6145,-37.6368,30.36,74,98,8.28,GL,1635451735
Norman Wells,65.282,-126.8329,25,89,100,6.04,CA,1635451736
Geraldton,-28.7667,114.6,46.81,87,3,8.05,AU,1635451736
Bluff,-46.6,168.3333,56.14,85,43,2.62,NZ,1635451736
Russellville,35.2784,-93.1338,58.73,84,90,16.11,US,1635451737
Klaksvík,62.2266,-6.589,49.12,90,44,21.16,FO,1635451737
Hofn,64.2539,-15.2082,41.47,93,100,16.31,IS,1635451737
Ushuaia,-54.8,-68.3,62.22,53,46,12.39,AR,1635451738
Busselton,-33.65,115.3333,39.04,83,47,8.19,AU,1635451738
East London,-33.0153,27.9116,66.76,95,100,8.75,ZA,1635451739
Shache,38.4167,77.2406,47.97,33,79,4.03,CN,1635451739
Egvekinot,66.3167,-179.1667,-0.89,97,99,2.64,RU,1635451740
Barrow,71.2906,-156.7887,23.02,86,90,13.8,US,1635451740
Castro,-24.7911,-50.0119,67.95,84,91,9.55,BR,1635451740
Cape Town,-33.9258,18.4232,64.09,75,18,8.19,ZA,1635451741
Sept-Îles,50.2001,-66.3821,47.91,51,26,3.11,CA,1635451741
Mwaro Province,-3.5,29.6667,58.5,83,95,0.85,BI,1635451742
Cidreira,-30.1811,-50.2056,70.48,78,0,16.67,BR,1635451743
Flinders,-34.5833,150.8552,68.2,74,93,1.99,AU,1635451743
Lebu,-37.6167,-73.65,57.6,79,1,15.48,CL,1635451744
Mahon,39.8885,4.2658,63.16,82,20,3.44,ES,1635451497
Codrington,-38.2667,141.9667,47.28,85,100,26.96,AU,1635451605
